date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:13	131/131	---MCZ	200	added ('OK')	text/plain	etag:%225293-1756744523;gz%22	https://royalpalmcollege.com/robots.txt		(from )
15:08:15	429062/429062	---M-Z	200	added ('OK')	text/html	etag:%225294-1756744529;gz%22	https://royalpalmcollege.com/	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/index.html	(from )
15:08:16	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2002%20Sep%202025%2014:08:16%20GMT	https://royalpalmcollege.com/xmlrpc.php	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/xmlrpc.php	(from https://royalpalmcollege.com/)
15:08:17	821/821	---MCZ	200	added ('OK')	application/json	etag:%225309-1756746953;gz%22	https://royalpalmcollege.com/wp-json/pwa-for-wp/v2/pwa-manifest-json	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/wp-json/pwa-for-wp/v2/pwa-manifest-json.json	(from https://royalpalmcollege.com/)
15:08:18	378459/378459	---M--	200	added ('OK')	image/png	etag:%225c65b-6560a8ba-27df10d4a43865fa;;;%22	https://royalpalmcollege.com/wp-content/uploads/2022/09/cropped-schoolLogo.jpg	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/wp-content/uploads/2022/09/cropped-schoolLogo.jpg	(from https://royalpalmcollege.com/)
15:08:18	82081/82081	---M--	200	added ('OK')	image/png	etag:%22140a1-6560a8b9-433d1d8162e3970b;;;%22	https://royalpalmcollege.com/wp-content/uploads/2022/10/cropped-logo-royalpalm192.png	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/wp-content/uploads/2022/10/cropped-logo-royalpalm192.png	(from https://royalpalmcollege.com/)
15:08:19	766/766	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c4259d826abf8e2e932809ca7338892c%22	https://royalpalmcollege.com/comments/feed/	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/comments/feed/index.html	(from https://royalpalmcollege.com/)
15:08:20	1931/1931	---M-Z	200	added ('OK')	text/css	etag:%2278b-68b5b1db-197fdf9b18962440;gz%22	https://royalpalmcollege.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.28	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main70f0.css	(from https://royalpalmcollege.com/)
15:08:20	29842/29842	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c4259d826abf8e2e932809ca7338892c%22	https://royalpalmcollege.com/feed/	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/feed/index.html	(from https://royalpalmcollege.com/)
15:08:21	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-67852c06-bc001562a3bf8c5;gz%22	https://royalpalmcollege.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/Users/tajud/Desktop/Royal%20CLone/royalpalmcollege.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://royalpalmcollege.com/)
